seed,simulation time,batch size,inference time,accuracy
5,25,8,39.942479372024536,97.84
5,50,8,77.72456431388855,97.86
5,1,16,1.85477876663208,9.74
5,5,16,4.939893007278442,81.74
5,10,16,8.845572471618652,97.64
5,25,16,20.17514443397522,97.84
5,50,16,39.07511258125305,97.86
5,1,32,1.1460144519805908,9.74
5,5,32,2.5806682109832764,81.74
5,10,32,4.557138442993164,97.64
5,25,32,10.408463478088379,97.84
5,50,32,20.748043060302734,97.86
5,1,64,0.7920982837677002,9.74
5,5,64,1.3999075889587402,81.74
5,10,64,2.394831657409668,97.64
5,25,64,5.372897386550903,97.84
5,50,64,11.17861533164978,97.86
5,1,128,0.6591098308563232,9.74
5,5,128,0.8857748508453369,81.74
5,10,128,1.419416904449463,97.64
5,25,128,3.1225600242614746,97.84
5,50,128,5.593137741088867,97.86
5,1,256,0.6854875087738037,9.74
5,5,256,0.8812077045440674,81.74
5,10,256,1.056201696395874,97.64
5,25,256,2.097775936126709,97.84
5,50,256,3.4133050441741943,97.86
5,1,512,0.6347556114196777,9.74
5,5,512,0.7021083831787109,81.74
5,10,512,0.8750150203704834,97.64
5,25,512,1.3265860080718994,97.84
5,50,512,2.2393267154693604,97.86
5,1,1024,0.6639940738677979,9.74
5,5,1024,0.711688756942749,81.74
5,10,1024,0.8156824111938477,97.64
5,25,1024,1.0914278030395508,97.84
5,50,1024,1.7847654819488525,97.86
6,1,1,25.58290386199951,9.74
6,5,1,76.47129082679749,81.74
6,10,1,138.31369638442993,97.64
6,25,1,329.15364599227905,97.84
6,1,2,13.524928092956543,9.74
6,5,2,38.08463716506958,81.74
6,10,2,70.27043795585632,97.64
6,25,2,164.22770476341248,97.84
6,50,2,317.61394238471985,97.86
6,1,4,6.5172553062438965,9.74
6,5,4,18.881006717681885,81.74
6,10,4,34.44270133972168,97.64
6,25,4,79.93479537963867,97.84
6,50,4,156.46841096878052,97.86
6,1,8,3.388070583343506,9.74
6,5,8,9.642838716506958,81.74
6,10,8,17.444237232208252,97.64
6,25,8,40.59109568595886,97.84
6,50,8,78.21674704551697,97.86
6,1,16,1.8751482963562012,9.74
6,5,16,5.19201922416687,81.74
6,10,16,9.219265222549438,97.64
6,25,16,21.52193856239319,97.84
6,50,16,40.22961664199829,97.86
6,1,32,1.1496281623840332,9.74
6,5,32,2.5862951278686523,81.74
6,10,32,4.562091827392578,97.64
6,25,32,10.714399099349976,97.84
6,50,32,20.198082447052002,97.86
6,1,64,0.8010084629058838,9.74
6,5,64,1.4249563217163086,81.74
6,10,64,2.4187023639678955,97.64
6,25,64,5.5723724365234375,97.84
6,50,64,10.557506561279297,97.86
6,1,128,0.6542246341705322,9.74
6,5,128,0.8846321105957031,81.74
6,10,128,1.3956308364868164,97.64
6,25,128,3.0145249366760254,97.84
6,50,128,5.698784112930298,97.86
6,1,256,0.6277220249176025,9.74
6,5,256,0.7288789749145508,81.74
6,10,256,0.9426465034484863,97.64
6,25,256,1.7829029560089111,97.84
6,50,256,3.3711938858032227,97.86
6,1,512,0.7276177406311035,9.74
6,5,512,0.7207739353179932,81.74
6,10,512,0.7935724258422852,97.64
6,25,512,1.2253532409667969,97.84
6,50,512,2.1065852642059326,97.86
6,1,1024,0.6803030967712402,9.74
6,5,1024,0.7864053249359131,81.74
6,10,1024,0.8671886920928955,97.64
6,25,1024,1.2358720302581787,97.84
6,50,1024,1.8840141296386719,97.86
7,1,1,26.386659383773804,9.74
7,5,1,77.28305888175964,81.74
7,10,1,143.14288878440857,97.64
7,25,1,314.71812653541565,97.84
7,1,2,12.219727516174316,9.74
7,5,2,36.98525857925415,81.74
7,10,2,66.94002628326416,97.64
7,25,2,156.85698246955872,97.84
7,50,2,304.4437153339386,97.86
7,1,4,6.379286527633667,9.74
7,5,4,18.545426845550537,81.74
7,10,4,34.036070346832275,97.64
7,25,4,79.16278314590454,97.84
7,50,4,153.30715918540955,97.86
7,1,8,3.340402364730835,9.74
7,5,8,9.54808759689331,81.74
7,10,8,17.34272050857544,97.64
7,25,8,40.02025365829468,97.84
7,50,8,77.64343476295471,97.86
7,1,16,1.7760951519012451,9.74
7,5,16,4.881417274475098,81.74
7,10,16,8.786651134490967,97.64
7,25,16,20.236679077148438,97.84
7,50,16,39.262500524520874,97.86
7,1,32,1.1186223030090332,9.74
